product_name,price,discount,date,source,,
Checked Shirt with Patch Pocket,1119,18,09-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,10-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,11-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,12-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,13-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,14-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,15-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,16-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,17-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,18-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,19-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,20-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,21-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,22-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,23-06-2023,Myntra,,
Checked Shirt with Patch Pocket,1119,18,24-06-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,24-06-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,25-06-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,27-06-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,28-06-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,29-06-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,30-06-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,01-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,02-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,03-07-2023,Myntra,,
Checked Shirt with Patch Pocket,799.5,41,04-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,04-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,05-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,06-07-2023,Myntra,,
Checked Shirt with Patch Pocket,959,29,07-07-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,07-07-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,08-07-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,09-07-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,10-07-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,11-07-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,12-07-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,13-07-2023,Myntra,,
Checked Shirt with Patch Pocket,831,39,14-07-2023,Myntra,,
