product_name,Price,Discount,Date,source
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),14990,-21%,2025-03-20,Amazon
"Apple iPhone 16 (Black, 128 GB)",73400,-8%,2025-03-20,Amazon
Noise Pro 6 Max Smart Watch,7499,-25%,2025-03-20,Amazon
Crompton Optimus 100 Litres Desert Air Cooler for home,13999,-35%,2025-03-20,Amazon
"Godrej 272 L 3 Star Convertible Technology, 30 days Farms Freshness Inverter Frost Free Double Door Refrigerator",27490,-21%,2025-03-20,Amazon
"Nothing Phone (3A) 5G (Black, 8GB RAM, 256GB Storage)",25649,-15%,2025-03-20,Amazon
GoPro Hero13 Special Bundle Sports and Action Camera,42490,-34%,2025-03-20,Amazon
LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator,36990,-21%,2025-03-20,Amazon
