Title,Price,Shipping,Condition,Seller Info,Product Link
N/A,$925.99,+$110.34 delivery,Very Good - Refurbished,"itsworthmore (89,594) 98.7%",https://www.ebay.com/itm/297004093008?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRB041WR9KNS8ATZQF&hash=item4526d2ce50:g:fs4AAeSw809nqmVO&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1evwSYrAW%2FBPqEYy76m1dpFHipexIpbMDIfp3Uo2wOIy3q5IHv7uCT6XsVJHWrYdzr6ZMzPFIseHtChC%2B7c3dWLiE%2FIsaQ4J5JuIL4U6POFvBl6RIUBLURPKFIgOYfJgOzNwCdPP2ZgHPigmx10p%2FQq6uBCmA%2FDWJ22CngAM0Tw70rvcHLrxX37svlHqSL6uHe2bnMATV02iqecQRLetMCuMYSn3Bg5cnioCNwnX5UcykHTyCTd9UTOcKadkILV5OA%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,"$1,528.79",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/167258304548?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRCQX984TXPFPFWMQE&hash=item26f15f3024:g:knIAAOSwAr1nillV&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cNl2vKuRk%2BJbkkwhNdVkYEhbhJbWrmnrbXpGiER%2FEF7wRposF50OuYGY4LZdCzwpKuOgtaeYBTUsOHaK1sQGCFbXTpKd6hsfI2NaZirYig5Hn2l%2FcrT0KBrPorO7RbzGThgmKbWnIxOE8WGTwfS816NhAsPd2i1Ahx5VXB7HOp8GxphFsP2lHYQTPE%2FPNamhmkja5eSjyWXt%2FadGM6IyX3df%2F8V4Gvcmeg1eFY3Kd0bWy%2BNtw1SrvyI0Zy6%2B3GBUI%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,"$1,534.50",+$5.00 delivery,Brand New,"ea_memory (38,019) 98.9%",https://www.ebay.com/itm/314891433329?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRDADH61622SM645SS&hash=item4950fdf571:g:~AYAAOSwQZ1lLQBO&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fAYc16NYzuuQ2lpsPVwHnGqmGvSm%2BdiQL2IKaOCJwtTzNf9ag6gJX%2B0uJ51NwJ2t6nGNA3m%2FW58Uf42cZyk271A43HDjmadtiiq7e%2BpHWfGn0i2G5MNOpupxy6zLKCCtvwTNWE2XA8p%2BOhhHUGjhQJZi61VuorBV3z%2Ff0EklCLp%2BPbucNG16ujRpYcMxu56hucOvL%2FawcEESwb98MIBos0INLeCdDXu%2BT5GItrk5q09zMTvqMNCtb%2FAa%2BNbG15wQU%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,"$2,199.99",+$96.00 delivery,Brand New,zhanjianx-0 (4) 0%,https://www.ebay.com/itm/385245531762?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRERM1HEMBPHXNRP70&hash=item59b26c4e72:g:rR8AAOSwQLJjetER&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1chXEKJAqh4E1dFVU03mBkcynNosZ0X8OzpDtQg56aUtnaTxy1VobNnOKD0b9DTqihQuEXElYIo6vAu3EFc%2Bc9wbiHMQMBm4zJsfhjvGbDufXZkIl7ORfwwolBO86sgrVzwuJ3ku1VQI5sQ8USFXjjq2ncRBK4pImnId%2FNrmEGIDEiJJZEYu6bEA44HTS6d2RAPz0ANBqOhNMHOfeTs3Tq0nYwev9sFIeVKQIIKz%2BKBUscd2j061VGhwCBN95yZ4fKiRTT3mVmdUw3c5CsXgaOPaf%2FUyXWPXlae9w7pDaV34Q%3D%3D%7Ctkp%3ABk9SR8TOw_6iZQ
N/A,"$1,528.79",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/156641484344?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWR7230C3F76E9Z9JB5&hash=item24788f5e38:g:ER8AAOSw7xpnilkN&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dKOLuTHOSpNaZ4VjJGLO8P6vdkkg%2FWq4aBOtac35mixgoemLIw2hSlw8gY80aN%2B%2BtFnWYtQyhzoBSXHBmPV1J%2FpZn0YnJttyZz%2FWRpKqW7q%2BLuODsHjt9utGxiUoEOoGn%2B%2FtEvbX2V9SuHdOhBCEcqvRyLJ0lg1%2FyhOTDFdvrVTbIb7M%2B%2B6NcT%2BDXbzdo8ku4L%2FFbYymJas%2BA%2F8WOt5vZ9SP771mL4dvQ5Tegvkc8Wh8EEQQgnUkPa1Vp9PKZjeBiN4WcsrfSeseD2wYLffnn55Rw3vCtDwQu7KwM3AmPGEQ%3D%3D%7Ctkp%3ABFBMxM7D_qJl
N/A,"$1,512.34",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/167258346365?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRQ5Z3CEEA7FC65B89&hash=item26f15fd37d:g:Tt0AAOSwW1JnjM2R&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cRfP%2BZLDJGjiWhbsWDfBP0daJ9c7PVF8oOgimDt01ETnr10LXd6jPbGpTW9LQkrWfEF4AZCa9t7viXvlRpPXjxY6tsoNtU319ekIincCtQYr4aKsDC85xPTwf%2F66Y7gEhtzf5e%2BM0tvk5KAUpO72RLYkwSSFLQsFX9HJ9grny%2B2jslT%2F2KdHJflvl46%2FY8TUa4llzXix3MLiC359AooqlO6EK8UNVdUoyLU40RRT7NwSbcLgii0iSfrsAS74O4%2Frj4M6NQ5CY%2BP8RiE3mjCNXUKiT172zyPq2Xqgae%2FSkyrQ%3D%3D%7Ctkp%3ABFBMxM7D_qJl
N/A,"$1,875.71",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/156641486060?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRF2R42P44273ASNSB&hash=item24788f64ec:g:H7gAAOSwKLpnillE&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dHrpjOg5TTgtK5DoV400eSXxcZ%2F5HBIQAGnsu4gSd7fgXG0xy%2BrtMllv%2BtyzwQgC7RtLa6MKQc7G9y%2FLYXiaDRcYaJl8TPHLTVxh8UFkgaXRlymBIRbufXjqq3NoH5YIuEOTZ7zNa4Ay2ZfAPjEK7dGrreXAgKdhSqM%2FFgyTg5Z8bCtrUZqrk3F32Mrpyi%2BowZgPaQiXERNIEdmm451BlEK%2BmaKBnXj%2B23tuzM%2F0R2uDLUGOntrmm1NbXPBRPRWFKeJFMFlCqGY%2BeMJhIJke%2B3UZk%2BTIAUCM4SkDQTjDK8GQ%3D%3D%7Ctkp%3ABFBMxM7D_qJl
N/A,"$1,707.54",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/167258305074?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWR64SZQ2JP8DNY88XF&hash=item26f15f3232:g:Q5YAAOSwfABnilnQ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1draDdQ9SZjXknz46rTot3SErw1IiOuRK%2BHc93HFMXGXi3jc15tRiZi8XROrvUfNVO%2FkQ1cEiZys6Darh%2BBcfdqhn3JbChuTxR7cEpJ0Xu4eLHXGRr5GP9OySjXU78Y6v7tx5oiOE64oEyLN95aPYwIYUQOaCzsEMO5kCTRlq5YC6Z%2F6dIUSjUZOS1oZRr8KZ%2FGxyNZX1uV%2B8RLBOi9Tai1N1sM1g7%2BhIg1RfxQ6wppQAkP9JHUTwdu8T3Wpmr14jqq1TDS0zc239FfqNvsjO6nYHiH9IbcRGrq8c6VoqjpTw%3D%3D%7Ctkp%3ABFBMxs7D_qJl
N/A,"$1,688.73",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/167258305069?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWREE3DN8ASSWSKDAKG&hash=item26f15f322d:g:I-oAAOSwjepnilkh&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1emAJ2Zb8gXlQuCfkKrcCgZdlzJxUKlPelrhtf55LJ87uiJpTgzdf%2FpcBP1H3wrP9wYz%2BacJyPaunPgP1GmPrDOUEiKfjVDYFJdVW74rQtEnB4O2qKVEJG86xOaPaNjMTpZT1noUkes35S%2FlFU3nhH%2BAdrT0TKUHf2fzEbUMNHJj%2B8XLt%2FaBZik3%2FNP2DNpkMa3CYvNLH2Kt4bMwaS8ENZgmtJklyQkTiM4vHS6ntNJavJQyb80dP8p5HbXzIfTJlYZIeFXdhPzsFyck6s8iVKFGYmc9aYgg2HmGljZpxEVMA%3D%3D%7Ctkp%3ABk9SR8bOw_6iZQ
N/A,"$1,688.73",+$256.32 delivery,Excellent - Refurbished,"0_rach_0 (3,264) 99.3%",https://www.ebay.com/itm/156641486077?_skw=Dell+XPS+15+2023&itmmeta=01JMBYGWWRA4ZVX172HSD36VHR&hash=item24788f64fd:g:naYAAOSwsOBnilkK&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cxQJD38csAV5hY0ghGb8xcgIiTdn2aB%2F40gOd7mNPzsvF6wor9BoT8BLvZrshcwkm1hHMFkM0vpKUe2HhXyJo09uBlmGJWBbUy9F8msuMWr%2F9VYz1M3Gbrb4aJpy00Pk6t175R1SNz4yq8wevnqbbrAx%2BZTn6JYuVCcCR5eMi6MXkc%2FVpMFSyBOkFYi7Jn2yRk7OYwLNXrvE3g9mDXd9M0B9sz4%2Fn3uIJak5cF4tcyGq%2FaLMMOqSSNsm3o%2Fcj%2FeUm0cIH5WmSuunLf0zUKV7TJITi%2BjxgmUT8wVBHOMTgdsQ%3D%3D%7Ctkp%3ABk9SR8bOw_6iZQ
